u,v,key,osmid,oneway,ref,name,highway,reversed,length,geometry,lanes,bridge
7973114570,498867803,0,135913061,True,,滨河大道辅路,primary,False,170.9,"LINESTRING (114.0282287 22.5309236, 114.0281503 22.5309458, 114.0279256 22.5310039, 114.026621 22.5313195)",1,
7973114616,2529179564,0,854903596,False,,,residential,True,102.497,"LINESTRING (114.0290613 22.5327531, 114.0280816 22.5325776)",,
7973114629,7973114645,0,854903602,True,,泰然五路,residential,False,9.119,"LINESTRING (114.0251484 22.5370539, 114.0251071 22.5369813)",,
7973114629,1491845475,0,135906447,True,,泰然四路,tertiary,False,88.793,"LINESTRING (114.0251484 22.5370539, 114.0244839 22.536943, 114.0242971 22.5369147)",,
7973114630,7973114881,0,245794177,True,,,primary_link,False,13.093,"LINESTRING (114.0258606 22.5341625, 114.0257361 22.5341372)",,
7973114630,7973114646,0,245794171,True,,泰然五路,residential,False,322.38599999999997,"LINESTRING (114.0258606 22.5341625, 114.0258321 22.5343003, 114.0256917 22.5349131, 114.0252543 22.5368233, 114.0252173 22.5370002)",,
7973114644,7973114647,0,854919701,True,,泰然四路,tertiary,False,4.908,"LINESTRING (114.0269842 22.5373022, 114.0270312 22.5373102)",,
7973114644,7973114570,0,"[245794163, 854903589]",True,,泰然三路,residential,False,729.8209999999999,"LINESTRING (114.0269842 22.5373022, 114.0270086 22.5371888, 114.0274312 22.5352599, 114.0276517 22.5342536, 114.0277717 22.5337061, 114.0278721 22.5332478, 114.0278899 22.5331669, 114.0280215 22.532566, 114.0283249 22.5311812, 114.0283468 22.5310785, 114.0283494 22.5310457, 114.0283447 22.5310178, 114.028334 22.5309924, 114.0283186 22.530967, 114.0282991 22.530949, 114.0282763 22.5309354, 114.0282529 22.5309274, 114.0282287 22.5309236)",,
7973114645,7973114646,0,854919701,True,,泰然四路,tertiary,False,11.511,"LINESTRING (114.0251071 22.5369813, 114.0252173 22.5370002)",,
7973114645,7973114881,0,854903602,True,,泰然五路,residential,False,322.781,"LINESTRING (114.0251071 22.5369813, 114.0251461 22.5368092, 114.0257046 22.534284, 114.0257361 22.5341372)",,
7973114646,7973114629,0,245794171,True,,泰然五路,residential,False,9.259,"LINESTRING (114.0252173 22.5370002, 114.0251484 22.5370539)",,
7973114646,7973114644,0,854919701,True,,泰然四路,tertiary,False,184.54700000000003,"LINESTRING (114.0252173 22.5370002, 114.0265136 22.5372217, 114.026564 22.5372303, 114.0269842 22.5373022)",,
7973114647,7973114560,0,854903590,True,,泰然三路,residential,False,6.347,"LINESTRING (114.0270312 22.5373102, 114.0270187 22.5373661)",,
7973114647,7973114554,0,854919701,True,,泰然四路,tertiary,False,102.789,"LINESTRING (114.0270312 22.5373102, 114.0278827 22.5374557, 114.0280152 22.537479)",,
7973114657,7973099572,0,837565287,True,,深南大道辅路,secondary,False,265.112,"LINESTRING (114.0247195 22.5394342, 114.0248231 22.5394488, 114.0248835 22.5394573, 114.0249486 22.5394712, 114.0249931 22.5394723, 114.0262934 22.5396881, 114.0267018 22.539756, 114.0272607 22.5398499)",2,
7973114756,2529179627,0,245794161,True,,,primary_link,False,13.036,"LINESTRING (114.0257496 22.5340742, 114.0258737 22.5340988)",,
7973114756,2529179627,1,"[854903602, 245794171]",True,,泰然五路,residential,False,291.34799999999996,"LINESTRING (114.0257496 22.5340742, 114.0260017 22.5328979, 114.026034 22.5328138, 114.0261177 22.5329184, 114.0260234 22.5333749, 114.0259097 22.5339245, 114.0258737 22.5340988)",,
7973114786,7973114657,0,238028139,True,,,primary_link,False,272.584,"LINESTRING (114.0241972 22.5372819, 114.0242231 22.5374152, 114.0242232 22.5374965, 114.0242158 22.5375599, 114.0240412 22.5383756, 114.024023 22.5384769, 114.0240166 22.5385751, 114.0240255 22.5386722, 114.0240461 22.5387717, 114.0240781 22.5388723, 114.02412 22.5389644, 114.0241883 22.5390653, 114.0242709 22.5391426, 114.0243836 22.5392292, 114.0247195 22.5394342)",,
