u,v,key,osmid,oneway,name,highway,reversed,length,geometry,lanes,access,bridge,maxspeed,tunnel
2530287123,9222802792,0,40970722,True,新洲路,primary,False,88.72099999999999,"LINESTRING (114.0443254 22.5256716, 114.0443084 22.5256397, 114.0442873 22.5256001, 114.0439627 22.5249475)",,,,,
2868296608,2868296617,0,282885045,False,,residential,False,102.63000000000001,"LINESTRING (114.0456438 22.5237404, 114.0455936 22.5233171, 114.0455521 22.5232061, 114.0454233 22.5229212, 114.0453962 22.5228548)",,,,,
2868296608,2868296660,0,282885047,False,石厦碉楼巷,residential,False,53.902,"LINESTRING (114.0456438 22.5237404, 114.0458049 22.5239332, 114.0458226 22.5239601, 114.0458318 22.523984, 114.0458356 22.5240143, 114.045832 22.5240458, 114.0457925 22.5241624)",,,,,
2868296608,2868296646,0,282885047,False,石厦碉楼巷,residential,True,109.635,"LINESTRING (114.0456438 22.5237404, 114.045359 22.5235707, 114.0453192 22.5235478, 114.0452884 22.5235181, 114.0451257 22.5233441, 114.0449259 22.5231664, 114.0448212 22.5231329)",,,,,
2868296617,8869448090,0,282885042,False,,residential,False,218.128,"LINESTRING (114.0453962 22.5228548, 114.045819 22.522636, 114.046577 22.5221958, 114.0467261 22.5221091, 114.047211 22.5218368)",,,,,
2868296617,2868296646,0,282885042,False,,residential,True,66.688,"LINESTRING (114.0453962 22.5228548, 114.0449436 22.5230807, 114.0448212 22.5231329)",,,,,
2868296617,2868296608,0,282885045,False,,residential,True,102.63,"LINESTRING (114.0453962 22.5228548, 114.0454233 22.5229212, 114.0455521 22.5232061, 114.0455936 22.5233171, 114.0456438 22.5237404)",,,,,
2868296646,2868296617,0,282885042,False,,residential,False,66.688,"LINESTRING (114.0448212 22.5231329, 114.0449436 22.5230807, 114.0453962 22.5228548)",,,,,
2868296646,2268995301,0,282885042,False,,residential,True,77.429,"LINESTRING (114.0448212 22.5231329, 114.0447972 22.5231863, 114.0447912 22.5232038, 114.0447864 22.5232315, 114.0447846 22.5235739, 114.044786 22.5238236)",,,,,
2868296646,2868296608,0,282885047,False,石厦碉楼巷,residential,False,109.63500000000002,"LINESTRING (114.0448212 22.5231329, 114.0449259 22.5231664, 114.0451257 22.5233441, 114.0452884 22.5235181, 114.0453192 22.5235478, 114.045359 22.5235707, 114.0456438 22.5237404)",,,,,
2868296660,2268995262,0,217604716,False,,residential,True,5.151,"LINESTRING (114.0457925 22.5241624, 114.0458403 22.5241764)",1,,,,
2868296660,2268995301,0,217604716,False,,residential,False,110.03099999999999,"LINESTRING (114.0457925 22.5241624, 114.0448747 22.5238536, 114.044786 22.5238236)",1,,,,
2868296660,2868296608,0,282885047,False,石厦碉楼巷,residential,True,53.902,"LINESTRING (114.0457925 22.5241624, 114.045832 22.5240458, 114.0458356 22.5240143, 114.0458318 22.523984, 114.0458226 22.5239601, 114.0458049 22.5239332, 114.0456438 22.5237404)",,,,,
3653137211,2042407638,0,135913046,False,新洲二街,residential,False,19.667,"LINESTRING (114.0415834 22.524776, 114.0415564 22.5249511)",2,,,,
