u,v,key,osmid,oneway,lanes,highway,reversed,length,geometry,name,ref,maxspeed,access,bridge
2657406921,2657830327,0,328724256,True,,trunk,False,537.628,"LINESTRING (114.0756707 22.5317806, 114.0761384 22.5317936, 114.0763837 22.5318087, 114.076569 22.5318329, 114.0767503 22.5318753, 114.0769124 22.5319298, 114.0771216 22.5320242, 114.0772839 22.5321223, 114.0774173 22.532219, 114.0775214 22.5323112, 114.0776232 22.5324152, 114.0777308 22.5325438, 114.0778 22.5326469, 114.0778565 22.5327463, 114.0790458 22.5349367)",滨河大道,S550,,,
2657406924,2657406926,0,260313741,True,,primary,False,23.346,"LINESTRING (114.0761505 22.5316607, 114.0763773 22.5316747)",滨河大道辅路,,,,
2657406925,2880459819,0,260313741,True,,primary,False,240.642,"LINESTRING (114.0776462 22.5322542, 114.0777415 22.5323597, 114.0778319 22.532474, 114.0779044 22.5325788, 114.0779768 22.5326966, 114.0785819 22.5338323, 114.0786329 22.5339253, 114.0787578 22.5341531)",滨河大道辅路,,,,
2657406926,2657406918,0,260313741,True,,primary,False,11.491,"LINESTRING (114.0763773 22.5316747, 114.0764884 22.5316869)",滨河大道辅路,,,,
2657406926,2784261075,0,273589314,False,,unclassified,False,116.37700000000001,"LINESTRING (114.0763773 22.5316747, 114.0763844 22.5313122, 114.0764115 22.5311637, 114.0764602 22.5310253, 114.0765085 22.5309287, 114.0766131 22.5308172, 114.0767338 22.5307429)",,,,,
2657830319,2784308454,0,40998266,True,,primary,False,172.456,"LINESTRING (114.0731833 22.5316485, 114.0748624 22.5316483)",滨河大道辅路,,,,
2657830319,296024764,0,260313740,True,,trunk_link,False,69.698,"LINESTRING (114.0731833 22.5316485, 114.0738513 22.5317589)",滨河大道,,,,
2657830324,2880459808,0,260313741,True,,primary,False,137.90200000000002,"LINESTRING (114.0788719 22.5343792, 114.0791492 22.5348999, 114.0791848 22.5349668, 114.0793389 22.5352422, 114.0794508 22.5354317, 114.0794817 22.5354839)",滨河大道辅路,,,,
2657830324,2657830327,0,260313742,True,,trunk_link,False,64.55999999999999,"LINESTRING (114.0788719 22.5343792, 114.0789275 22.5345272, 114.0790066 22.5348187, 114.0790458 22.5349367)",滨河大道,,,,
2657830327,513658942,0,328724256,True,,trunk,False,119.19800000000001,"LINESTRING (114.0790458 22.5349367, 114.0792882 22.5353779, 114.0794007 22.5355629, 114.0795217 22.5357367, 114.0796181 22.5358677)",滨河大道,S550,,,
2751405348,6155402638,0,996755162,True,4,primary,False,9.334,"LINESTRING (114.0629382 22.539684, 114.0629352 22.5396001)",彩田路,,,,
