u,v,key,osmid,oneway,lanes,name,highway,reversed,length,geometry,bridge,junction
5343169238,4790085436,0,553567067,True,,和睦路 Wo Muk Road,tertiary,False,19.992000000000004,"LINESTRING (114.1417429 22.5008232, 114.1417755 22.5008471, 114.1418096 22.5008772, 114.1418547 22.5009044, 114.1419005 22.5009271)",,
5343169239,4790085436,0,553567069,True,,,residential,False,4.773,"LINESTRING (114.1419106 22.5008852, 114.1419005 22.5009271)",,
5343169239,5343169238,0,553567066,True,,和睦路 Wo Muk Road,tertiary,False,18.569,"LINESTRING (114.1419106 22.5008852, 114.1418785 22.5008759, 114.1417429 22.5008232)",,
5343169246,5343126849,0,553561563,True,,聯捷街 Luen Chit Street,residential,False,7.021,"LINESTRING (114.1420036 22.5009531, 114.1420323 22.5008958)",,
5343169246,6452216724,0,"[553567068, 929950166]",True,,"['聯安街 Luen On Street', '和睦路 Wo Muk Road']",tertiary,False,118.38199999999999,"LINESTRING (114.1420036 22.5009531, 114.1420438 22.5009586, 114.1421019 22.5009616, 114.1421881 22.5009625, 114.142319 22.5009278, 114.1424214 22.5008768, 114.1424224 22.5008755, 114.1424673 22.5008443, 114.1425818 22.5007463, 114.1427603 22.5005962, 114.1427814 22.5005784, 114.1428114 22.5005531, 114.1429521 22.5004348)",,
6028049275,1802128332,0,639789223,True,,馬適路 Ma Sik Road,secondary,False,15.342,"LINESTRING (114.1470193 22.5012685, 114.146905 22.5013573)",,
6452216724,6452216725,0,929944415,True,,聯安街 Luen On Street,tertiary,False,3.307,"LINESTRING (114.1429521 22.5004348, 114.142974 22.500413)",,
6452216724,1599358804,0,688169153,True,,和泰街 Wo Tai Street,unclassified,False,175.137,"LINESTRING (114.1429521 22.5004348, 114.1430196 22.5005009, 114.1430292 22.5005105, 114.1440442 22.5015194, 114.1441163 22.5015853)",,
6452216725,1599358612,0,929944414,True,,和泰街 Wo Tai Street,unclassified,False,10.465,"LINESTRING (114.142974 22.500413, 114.1428968 22.5003516)",,
7440997098,7505628093,0,804132178,False,1,,residential,False,20.505,"LINESTRING (114.1484846 22.5034658, 114.1485462 22.5032904)",,
7440997098,7521489450,0,804132178,False,1,,residential,True,55.459,"LINESTRING (114.1484846 22.5034658, 114.148448 22.5034889, 114.1484257 22.5034931, 114.148324 22.5035123, 114.1483072 22.50352, 114.1483013 22.5035227, 114.148313 22.5037845, 114.1483155 22.5038399)",,
7440997098,7790258527,0,834532191,False,1,,residential,True,79.82600000000001,"LINESTRING (114.1484846 22.5034658, 114.1485083 22.5034734, 114.1484833 22.5035684, 114.1485486 22.5035722, 114.1485775 22.5035855, 114.1485857 22.5036082, 114.1485974 22.5036416, 114.1486219 22.5036761, 114.1486585 22.5037097, 114.1486779 22.5037097, 114.1487823 22.5037098, 114.148823 22.5037326, 114.1488327 22.5037637, 114.1488204 22.5039313)",,
7496893668,2001310748,0,783978333,False,,龍馬路 Lung Ma Road,residential,False,142.00400000000002,"LINESTRING (114.1548091 22.5042856, 114.1546926 22.5044656, 114.1545684 22.5046764, 114.1545517 22.5047092, 114.1544684 22.504895, 114.1544528 22.5049371, 114.1544258 22.5050139, 114.1543936 22.5051334, 114.1543878 22.505166, 114.1543338 22.5054705)",,
7496893668,5292000763,0,"[801531232, 1009484911, 1009484914, 1120028218, 1120028219, 783978333]",False,,龍馬路 Lung Ma Road,residential,"[False, True]",347.366,"LINESTRING (114.1548091 22.5042856, 114.1548301 22.5042559, 114.1549699 22.5040396, 114.1550761 22.5038426, 114.1551628 22.5036818, 114.1552213 22.5035734, 114.1552944 22.5033689, 114.1555744 22.5034266, 114.1562584 22.5036957, 114.1562952 22.5037109, 114.1563182 22.5037197, 114.1564221 22.5037592, 114.1565343 22.5038028, 114.1566277 22.5038391, 114.1567572 22.5038895, 114.1572946 22.5040953, 114.1574059 22.5041373)",,
