u,v,key,osmid,name,highway,oneway,reversed,length,geometry,lanes,maxspeed,bridge,access
2889056097,8046350932,0,285221696,,residential,False,True,112.691,"LINESTRING (114.0694909 22.5521304, 114.0695013 22.5512698, 114.0695011 22.551117)",,,,
2889056098,2889056936,0,285221677,,unclassified,False,True,117.30399999999999,"LINESTRING (114.070495 22.5557931, 114.0704153 22.5549853, 114.0704153 22.5548739, 114.0704494 22.5547453)",,,,
2889056100,564055458,0,996755158,彩田路,primary,True,False,148.76999999999998,"LINESTRING (114.0626962 22.5548704, 114.0626805 22.5557519, 114.0626701 22.5562081)",2,,,
2889056901,2889056913,0,285221673,,unclassified,False,False,74.143,"LINESTRING (114.0724069 22.5546912, 114.0723766 22.554025)",,,,
2889056901,2889056931,0,285221694,,unclassified,False,True,104.455,"LINESTRING (114.0724069 22.5546912, 114.07139 22.5547133)",,,,
2889056901,2787061350,0,285221673,,unclassified,False,True,371.249,"LINESTRING (114.0724069 22.5546912, 114.0724163 22.5558572, 114.0723955 22.5571132, 114.0723921 22.5574425, 114.0723827 22.5575428, 114.072362 22.5576425, 114.0723569 22.5577271, 114.0723479 22.5578339, 114.0723429 22.5579781, 114.072342 22.5580011, 114.0723398 22.5580269)",,,,
2889056902,2889056092,0,285221695,,unclassified,False,True,42.667,"LINESTRING (114.0713801 22.5536925, 114.0713839 22.5540762)",,,,
2889056903,2889056043,0,285221684,,unclassified,False,False,80.526,"LINESTRING (114.0699376 22.5540069, 114.0707176 22.5540814)",,,,
2889056903,2889056912,0,285221684,,unclassified,False,True,75.987,"LINESTRING (114.0699376 22.5540069, 114.0692025 22.5539287)",,,,
2889056903,2889056936,0,"[285221694, 285221687]",,unclassified,False,False,136.664,"LINESTRING (114.0699376 22.5540069, 114.069921 22.5547478, 114.0704494 22.5547453)",,,,
2889056903,2889056918,0,285221687,,unclassified,False,True,138.361,"LINESTRING (114.0699376 22.5540069, 114.0699379 22.5539945, 114.0699862 22.5527634)",,,,
2889056907,2889056912,0,285221684,,unclassified,False,False,61.029,"LINESTRING (114.0686121 22.5538659, 114.0692025 22.5539287)",,,,
