u,v,key,osmid,name,highway,oneway,reversed,length,geometry,lanes,maxspeed,access,tunnel
2399038451,8071647091,0,231534936,,residential,False,True,140.285,"LINESTRING (114.0307048 22.521349, 114.0305772 22.5211465, 114.0296332 22.5216896)",,,,
2399038469,2399038438,0,231534931,,residential,False,True,58.968,"LINESTRING (114.0334386 22.5218139, 114.0329632 22.5215166)",,,,
2399038469,2269583677,0,231534962,沙嘴东路,residential,False,True,75.915,"LINESTRING (114.0334386 22.5218139, 114.0330318 22.5223839)",,,,
2399038469,9608302698,0,231534962,沙嘴东路,residential,False,False,75.3,"LINESTRING (114.0334386 22.5218139, 114.0337489 22.5213864, 114.0338468 22.5212514)",,,,
2399038473,2399038474,0,231534943,,residential,False,False,137.811,"LINESTRING (114.0319831 22.5224001, 114.0327162 22.5213621)",,,,
2399038473,2269583677,0,1044157152,,residential,False,False,117.36999999999998,"LINESTRING (114.0319831 22.5224001, 114.0320216 22.522401, 114.0320813 22.5223894, 114.0328517 22.5222396, 114.0328879 22.5222389, 114.0329237 22.5222506, 114.0329558 22.5222777, 114.032992 22.5223197, 114.0330318 22.5223839)",,,,
2399038473,2399021795,0,1044157152,,residential,False,True,81.608,"LINESTRING (114.0319831 22.5224001, 114.0319429 22.5223942, 114.0319082 22.5223709, 114.0318765 22.5223441, 114.0313956 22.5219159)",,,,
2399038474,2399038438,0,231534931,,residential,False,False,30.64,"LINESTRING (114.0327162 22.5213621, 114.0329632 22.5215166)",,,,
2399038474,2399038444,0,231534931,,residential,False,True,83.719,"LINESTRING (114.0327162 22.5213621, 114.0320415 22.5209397)",,,,
2399038474,2399038480,0,231534943,,residential,False,False,82.155,"LINESTRING (114.0327162 22.5213621, 114.0331697 22.5207535)",,,,
2399038474,2399038473,0,231534943,,residential,False,True,137.811,"LINESTRING (114.0327162 22.5213621, 114.0319831 22.5224001)",,,,
2399038475,2399038433,0,231534954,,residential,False,True,59.797,"LINESTRING (114.033881 22.5212044, 114.033401 22.5209001)",,,,
2399038475,2399038489,0,231534962,沙嘴东路,residential,False,False,83.356,"LINESTRING (114.033881 22.5212044, 114.0342989 22.5205618)",,,,
2399038475,9608302698,0,231534962,沙嘴东路,residential,False,True,6.297,"LINESTRING (114.033881 22.5212044, 114.0338468 22.5212514)",,,,
2399038480,2399038481,0,231534943,,residential,False,False,81.93,"LINESTRING (114.0331697 22.5207535, 114.0336032 22.520135)",,,,
2399038480,2399038474,0,231534943,,residential,False,True,82.155,"LINESTRING (114.0331697 22.5207535, 114.0327162 22.5213621)",,,,
2399038480,2399038433,0,231534954,,residential,False,False,28.813,"LINESTRING (114.0331697 22.5207535, 114.033401 22.5209001)",,,,
