u,v,key,osmid,oneway,highway,reversed,length,geometry,ref,name,lanes,maxspeed,access,bridge,tunnel
7959990664,7959990665,0,996752251,True,secondary,False,13.566,"LINESTRING (114.0580028 22.5355071, 114.0580031 22.5353851)",,金田路,3,,,,
7959990664,7959990594,0,1052079662,True,tertiary,False,127.89500000000001,"LINESTRING (114.0580028 22.5355071, 114.0577809 22.5355037, 114.0567577 22.535488)",,福华三路,,,,,
7959990665,7959932880,0,996752251,True,secondary,False,3.636,"LINESTRING (114.0580031 22.5353851, 114.0580032 22.5353524)",,金田路,3,,,,
7959990665,7959990655,0,996752264,True,tertiary,False,19.37,"LINESTRING (114.0580031 22.5353851, 114.0581917 22.5353856)",,福华三路,0,,,,
7959990681,7959990682,0,640467074,True,tertiary,False,13.867,"LINESTRING (114.0560011 22.5354764, 114.0560027 22.5353517)",,中心五路,3,,,,
7959990681,7959990732,0,853337021,True,tertiary,False,267.448,"LINESTRING (114.0560011 22.5354764, 114.0558165 22.5354736, 114.0536678 22.5354407, 114.0535917 22.5354395, 114.0533974 22.5354365)",,福华三路,,,,,
7959990682,4397491532,0,"[640467074, 853337020, 269974975]",True,tertiary,False,344.946,"LINESTRING (114.0560027 22.5353517, 114.0560043 22.5352392, 114.0560054 22.5351579, 114.0560059 22.5351223, 114.0560229 22.5346496, 114.0560628 22.5322501)",,中心五路,3,,,,yes
7959990682,7959990665,0,996752264,True,tertiary,False,205.484,"LINESTRING (114.0560027 22.5353517, 114.0561716 22.5353543, 114.0561993 22.5353548, 114.0568639 22.5353651, 114.0576881 22.5353778, 114.0577805 22.5353792, 114.0580031 22.5353851)",,福华三路,0,,,,
7959990732,7959603266,0,923158000,True,tertiary,False,216.36599999999999,"LINESTRING (114.0533974 22.5354365, 114.0533941 22.5355624, 114.0533914 22.5356528, 114.053363 22.5372011, 114.0533619 22.537259, 114.0533596 22.537382)",,中心四路,3,,,,
7959990732,7959990736,0,1052079657,True,tertiary,False,80.43900000000001,"LINESTRING (114.0533974 22.5354365, 114.0531589 22.5354329, 114.0526143 22.5354245)",,福华三路,3,,,,
7959990733,7959990732,0,853286951,True,tertiary,False,13.906,"LINESTRING (114.0534015 22.5353115, 114.0533974 22.5354365)",,中心四路,3,,,,
7959990733,7959990682,0,"[996752264, 996752262]",True,tertiary,False,267.192,"LINESTRING (114.0534015 22.5353115, 114.053594 22.5353145, 114.0536646 22.5353156, 114.0541641 22.5353233, 114.054254 22.5353247, 114.0542868 22.5353252, 114.0550901 22.5353376, 114.0551353 22.5353383, 114.0552176 22.5353396, 114.055734 22.5353476, 114.0558174 22.5353489, 114.0560027 22.5353517)",,福华三路,0,,,,
7959990736,7959603103,0,1052079657,True,tertiary,False,91.224,"LINESTRING (114.0526143 22.5354245, 114.0517262 22.5354109)",,福华三路,3,,,,
7959990736,7959603196,0,853286957,False,unclassified,True,216.30100000000002,"LINESTRING (114.0526143 22.5354245, 114.0526136 22.5354979, 114.0526013 22.5364135, 114.0525902 22.5372505, 114.0525887 22.5373696)",,中心三路,,,,,
7959990747,7959990597,0,775171636,True,secondary_link,False,69.994,"LINESTRING (114.0512493 22.5357617, 114.0512127 22.5356495, 114.0511694 22.5355817, 114.0511132 22.5355277, 114.0510449 22.5354803, 114.0509586 22.5354404, 114.0508567 22.5354143, 114.050758 22.5353962)",,,1,,,,
