u,v,key,osmid,oneway,lanes,name,highway,reversed,length,geometry,bridge,access,maxspeed,tunnel
5271707997,5832657777,0,616988612,True,1,,primary_link,False,76.765,"LINESTRING (114.0518184 22.542732, 114.0517303 22.5427431, 114.0516745 22.5427535, 114.0516299 22.5427701, 114.0515888 22.5427929, 114.0515418 22.5428249, 114.0514979 22.5428644, 114.0514597 22.5429041, 114.051426 22.5429465, 114.0513948 22.5429949, 114.0513694 22.5430472, 114.0513537 22.5430898, 114.0513417 22.5431316, 114.0513333 22.5431798)",,,,
5374861327,7958755764,0,853206495,False,2,兴融一路,residential,True,142.289,"LINESTRING (114.0510471 22.5403307, 114.0496617 22.5403175)",,,,
5832657502,7962005264,0,616988514,True,2,福中路,secondary,False,584.162,"LINESTRING (114.0574714 22.5475247, 114.0573116 22.5475224, 114.055463 22.5474961, 114.0553673 22.5474947, 114.0538285 22.5474728, 114.0535984 22.5474695, 114.0517838 22.5474436)",,,40,
5832657515,7962005192,0,616988549,True,1,,secondary_link,False,80.875,"LINESTRING (114.0573203 22.5473725, 114.0574456 22.5473513, 114.0575411 22.5473147, 114.0576344 22.5472602, 114.0577073 22.547201, 114.0577664 22.5471331, 114.0578041 22.5470667, 114.0578286 22.5469974, 114.0578471 22.5469115)",,,,
5832657515,9666019842,0,996752249,True,3,福中路,secondary,False,53.357,"LINESTRING (114.0573203 22.5473725, 114.0577087 22.5473784, 114.0578398 22.5473804)",,,40,
5832657517,7961993768,0,616988551,True,,,secondary_link,False,78.464,"LINESTRING (114.0580111 22.546925, 114.0580314 22.5470832, 114.0580434 22.5471248, 114.0580632 22.5471694, 114.0580873 22.5472066, 114.0581266 22.5472557, 114.0581638 22.5472873, 114.0582071 22.5473164, 114.0582524 22.5473391, 114.0583012 22.5473585, 114.0583533 22.5473728, 114.058402 22.5473817, 114.0584683 22.5473903)",,,,
5832657517,7962005397,0,996752266,True,3,金田路,secondary,False,50.968,"LINESTRING (114.0580111 22.546925, 114.058006 22.547216, 114.0580047 22.5472902, 114.0580031 22.5473833)",,,,
5832657531,7962005328,0,40988600,True,3,金田路,secondary,False,160.372,"LINESTRING (114.0579933 22.5479684, 114.0579903 22.5481167, 114.0579516 22.5491754, 114.0579475 22.54941)",,,,
5832657742,7961786893,0,616988607,True,1,,tertiary_link,False,40.539,"LINESTRING (114.0580417 22.5451607, 114.0580769 22.5452692, 114.0580866 22.5452928, 114.0581003 22.5453166, 114.058122 22.5453447, 114.0581388 22.5453629, 114.0581612 22.5453845, 114.0581858 22.5454025, 114.0582188 22.5454232, 114.0582621 22.5454437)",,,,
5832657742,7962005399,0,996752266,True,3,金田路,secondary,False,31.116,"LINESTRING (114.0580417 22.5451607, 114.0580388 22.5453295, 114.0580381 22.5453709, 114.0580369 22.5454405)",,,,
