u,v,key,osmid,oneway,lanes,name,highway,reversed,length,geometry,maxspeed,access
2548150006,2548149981,0,247967146,False,,,unclassified,False,183.612,"LINESTRING (114.0934828 22.5440711, 114.0935592 22.5440718, 114.093881 22.5440749, 114.0939996 22.5441667, 114.0939971 22.5451814, 114.093929 22.5452904)",,
2548150006,2548149981,1,247967146,False,,,unclassified,True,273.204,"LINESTRING (114.0934828 22.5440711, 114.0933955 22.5440703, 114.0931002 22.5440675, 114.0929798 22.5441606, 114.0929678 22.545165, 114.0930397 22.5452799, 114.0933313 22.5452834, 114.0936021 22.5452866, 114.093929 22.5452904)",,
2548150006,2548149940,0,247967146,False,,,unclassified,True,34.819,"LINESTRING (114.0934828 22.5440711, 114.0934846 22.543965, 114.093488 22.543758)",,
2548150015,1123424752,0,96944884,False,,同心路,tertiary,False,135.419,"LINESTRING (114.0937536 22.5481917, 114.0929681 22.5491699)",,
2548150015,1123427486,0,393911187,False,,益民路,residential,False,93.777,"LINESTRING (114.0937536 22.5481917, 114.0945024 22.5486744)",,
2548150015,1123427065,0,96944884,False,,同心路,tertiary,True,271.091,"LINESTRING (114.0937536 22.5481917, 114.0943115 22.5475389, 114.0948864 22.5473273, 114.0951678 22.5471394, 114.095151 22.5464255)",,
2548150015,1123427484,0,96944975,False,,益民路,tertiary,True,276.20799999999997,"LINESTRING (114.0937536 22.5481917, 114.0932587 22.547857, 114.0930737 22.547782, 114.0929218 22.5477542, 114.0912025 22.5477526)",,
2548150044,1123427065,0,96944884,False,,同心路,tertiary,False,186.308,"LINESTRING (114.0951569 22.54475, 114.095151 22.5464255)",,
2548150044,1123427053,0,96944884,False,,同心路,tertiary,True,137.971,"LINESTRING (114.0951569 22.54475, 114.095158 22.5435092)",,
2548150044,2548149971,0,247967142,False,,,unclassified,False,84.676,"LINESTRING (114.0951569 22.54475, 114.0953754 22.5447524, 114.0959814 22.5447499)",,
2841177980,2841177982,0,279937581,False,,,unclassified,False,9.276,"LINESTRING (114.0937862 22.5415517, 114.0937883 22.5414683)",,
