u,v,key,osmid,oneway,name,highway,reversed,length,geometry,lanes,maxspeed,bridge,tunnel,junction
2367574754,2367574785,0,228121843,False,,residential,True,42.804,"LINESTRING (114.0719416 22.5452387, 114.0721061 22.544885)",,,,,
2367574754,2367574802,0,228121854,False,,residential,True,81.09,"LINESTRING (114.0719416 22.5452387, 114.0712053 22.5449753)",,,,,
2367574755,2367574813,0,228121863,False,,residential,False,156.608,"LINESTRING (114.0644293 22.5454003, 114.0644332 22.5439919)",,,,,
2367574755,2367574751,0,777201485,False,,residential,False,59.79,"LINESTRING (114.0644293 22.5454003, 114.0638471 22.5453988)",,,,,
2367574755,2367574818,0,777201485,False,,residential,True,153.72,"LINESTRING (114.0644293 22.5454003, 114.0645977 22.5454007, 114.0645941 22.5466276)",,,,,
2367574768,2367574749,0,228121846,False,,residential,False,228.876,"LINESTRING (114.0697532 22.5458598, 114.0697026 22.5479176)",,,,,
2367574768,2367574770,0,228121849,False,,residential,False,75.165,"LINESTRING (114.0697532 22.5458598, 114.0704851 22.5458558)",2,,,,
2367574768,2367574792,0,228121849,False,,residential,True,172.975,"LINESTRING (114.0697532 22.5458598, 114.0680691 22.5458343)",2,,,,
2367574770,2367574768,0,228121849,False,,residential,True,75.165,"LINESTRING (114.0704851 22.5458558, 114.0697532 22.5458598)",2,,,,
2367574770,2367574746,0,781184115,True,,residential,False,35.368,"LINESTRING (114.0704851 22.5458558, 114.0705566 22.5458449, 114.0706208 22.5458237, 114.0706794 22.5457957, 114.0707318 22.545763, 114.0707919 22.5457223)",,,,,
2367574772,2367574817,0,228121857,False,,residential,False,86.569,"LINESTRING (114.0724374 22.5450925, 114.0726435 22.5458474)",,,,,
2367574772,2367574815,0,228121857,False,,residential,True,12.42,"LINESTRING (114.0724374 22.5450925, 114.0724078 22.5449842)",,,,,
2367574772,2367574804,0,228121847,False,,residential,False,320.12000000000006,"LINESTRING (114.0724374 22.5450925, 114.0722599 22.5457087, 114.0722545 22.5459167, 114.0722277 22.5474898, 114.0722599 22.5476656, 114.0722263 22.5479455)",,,,,
2367574781,2367574808,0,228121845,True,,residential,False,16.75,"LINESTRING (114.0709443 22.5457826, 114.0709418 22.5458076, 114.0709315 22.5458308, 114.0709143 22.5458503, 114.0708918 22.5458643, 114.0708658 22.5458717, 114.0708386 22.5458717)",,,,,roundabout
2367574781,2367574822,0,228121852,True,,residential,False,15.311,"LINESTRING (114.0709443 22.5457826, 114.070952 22.5458137, 114.0709688 22.5458401, 114.0709964 22.5458624, 114.0710382 22.5458771)",,,,,
2367574785,2367574754,0,228121843,False,,residential,False,42.804,"LINESTRING (114.0721061 22.544885, 114.0719416 22.5452387)",,,,,
2367574785,2367574815,0,228121844,False,,residential,False,32.889,"LINESTRING (114.0721061 22.544885, 114.0724078 22.5449842)",,,,,
2367574785,2367574745,0,228121844,False,,residential,True,80.125,"LINESTRING (114.0721061 22.544885, 114.0713711 22.5446433)",,,,,
2367574786,2367574794,0,228121856,False,,residential,False,82.543,"LINESTRING (114.0709644 22.5455946, 114.071768 22.5456089)",,,,,
2367574786,2367574781,0,228121852,True,,residential,False,21.155,"LINESTRING (114.0709644 22.5455946, 114.0709495 22.5456541, 114.0709434 22.5456947, 114.07094 22.5457327, 114.0709443 22.5457826)",,,,,
2367574786,2367574802,0,228121858,False,,residential,True,73.181,"LINESTRING (114.0709644 22.5455946, 114.0711087 22.5452157, 114.0711539 22.5450955, 114.0712053 22.5449753)",,,,,
2367574790,2367574745,0,228121858,False,,residential,False,87.716,"LINESTRING (114.0717395 22.5439316, 114.0713711 22.5446433)",,,,,
