u,v,key,osmid,oneway,lanes,name,highway,reversed,length,geometry,bridge
2765186568,2765186697,0,271562082,False,,,residential,True,293.91900000000004,"LINESTRING (114.1094027 22.5494055, 114.1094371 22.5491786, 114.1094291 22.5491166, 114.1083275 22.5473535, 114.1082543 22.5472117, 114.1082054 22.5470592)",
2765186593,2765186488,0,271562090,False,,桂园路,residential,True,60.55,"LINESTRING (114.1068201 22.5482602, 114.1070244 22.5477494)",
2765186639,8254932631,0,"[673003899, 887873494]",True,,建设路,"['secondary', 'primary_link']",False,75.813,"LINESTRING (114.110561 22.5467097, 114.1105443 22.546826, 114.1105024 22.5470966, 114.1104578 22.5473848)",
2765186668,1394350650,0,531378281,True,,,residential,False,48.719,"LINESTRING (114.1127547 22.5443472, 114.1122893 22.5442623)",
2765186668,8202181824,0,881974750,False,,,residential,True,83.59299999999999,"LINESTRING (114.1127547 22.5443472, 114.1131719 22.5443421, 114.1135686 22.5443372)",
2765186672,348428738,0,31354903,False,,桂园路,tertiary,False,96.796,"LINESTRING (114.1078243 22.5478334, 114.1079625 22.5469723)",
2765186672,2765186488,0,271562080,False,,桂园路,residential,True,82.675,"LINESTRING (114.1078243 22.5478334, 114.1070244 22.5477494)",
2765186697,348428738,0,996321285,True,,解放路,tertiary,False,26.751,"LINESTRING (114.1082054 22.5470592, 114.1079625 22.5469723)",
2765186697,2765186568,0,271562082,False,,,residential,False,293.919,"LINESTRING (114.1082054 22.5470592, 114.1082543 22.5472117, 114.1083275 22.5473535, 114.1094291 22.5491166, 114.1094371 22.5491786, 114.1094027 22.5494055)",
2776964644,2760370680,0,962639874,True,,深南东路,primary,False,57.947,"LINESTRING (114.1084986 22.5450176, 114.1090526 22.5451165)",
2776964644,3078099472,0,303451715,False,,,residential,True,258.578,"LINESTRING (114.1084986 22.5450176, 114.108419 22.5443911, 114.1083506 22.5439719, 114.1083276 22.5438309, 114.1081237 22.5427186)",
2776964646,3073376808,0,303045198,False,,,residential,False,53.042,"LINESTRING (114.1080202 22.5450597, 114.1080887 22.5455325)",
2776964646,8562237011,0,996321282,True,,深南东路,primary,False,129.301,"LINESTRING (114.1080202 22.5450597, 114.1067793 22.544863)",
2776964648,2776964646,0,272771514,True,,深南东路,primary,False,53.695,"LINESTRING (114.1085353 22.5451425, 114.1080202 22.5450597)",yes
