u,v,key,osmid,oneway,highway,reversed,length,lanes,name,geometry
4337209492,4337209489,0,435827459,False,unclassified,True,195.668,,文昌街,"LINESTRING (113.9901244 22.5429786, 113.9895564 22.5429517, 113.9894969 22.5429462, 113.988935 22.542894, 113.9886521 22.5428677, 113.9882266 22.5428282)"
4337209511,4337209512,0,435827464,False,unclassified,False,191.654,,,"LINESTRING (113.9883054 22.5419949, 113.9901659 22.542129)"
4337209511,4337209489,0,435827458,False,unclassified,False,93.012,,文昌南街,"LINESTRING (113.9883054 22.5419949, 113.9883006 22.5420453, 113.9882266 22.5428282)"
4337209511,1116415528,0,435827458,False,unclassified,True,59.982,,文昌南街,"LINESTRING (113.9883054 22.5419949, 113.9883494 22.5415297, 113.988356 22.5414575)"
4337209512,4337209511,0,435827464,False,unclassified,True,191.654,,,"LINESTRING (113.9901659 22.542129, 113.9883054 22.5419949)"
5169909909,1116415419,0,996263612,False,tertiary,False,108.594,2,香山东街,"LINESTRING (113.990334 22.5416044, 113.991388 22.5416826)"
5169909909,2184437904,0,996263612,False,tertiary,True,114.787,2,香山东街,"LINESTRING (113.990334 22.5416044, 113.9892199 22.5415217)"
5169911631,1116415419,0,532810252,True,tertiary,False,33.438,1,香山东街,"LINESTRING (113.9915739 22.5419039, 113.9915629 22.541842, 113.9915398 22.541789, 113.9915026 22.5417417, 113.9914499 22.5417049, 113.991388 22.5416826)"
5169911631,1116415190,0,996263613,True,primary,False,46.182,,侨城东路,"LINESTRING (113.9915739 22.5419039, 113.9916017 22.5417308, 113.9916112 22.5416711, 113.9916394 22.541493)"
5169911635,2184437907,0,996263613,True,primary,False,55.613,,侨城东路,"LINESTRING (113.9912552 22.5434669, 113.9913418 22.5429732)"
5194055689,278659728,0,633620718,True,primary,False,181.99599999999998,3,侨香路,"LINESTRING (113.983415 22.547491, 113.9839742 22.5470147, 113.9847278 22.5463916)"
5194055690,5194055689,0,536079057,True,primary_link,False,64.784,,,"LINESTRING (113.9828314 22.5477122, 113.983415 22.547491)"
5194055690,5194055713,0,532810254,True,secondary,False,282.429,,,"LINESTRING (113.9828314 22.5477122, 113.9834824 22.5471788, 113.9842132 22.5465768, 113.9848681 22.5460058)"
5194055702,1342323081,0,633620725,False,residential,False,28.469,,安托山一路,"LINESTRING (113.9976091 22.5468312, 113.9976509 22.5465781)"
5194055702,7510364983,0,633620725,False,residential,True,122.393,,安托山一路,"LINESTRING (113.9976091 22.5468312, 113.9974035 22.5477818, 113.9973826 22.5479117)"
