u,v,key,osmid,name,highway,oneway,reversed,length,geometry,lanes,junction,bridge
637882055,1606824362,0,147463810,新運路 San Wan Road,unclassified,False,False,591.086,"LINESTRING (114.1258125 22.5033686, 114.1255099 22.5036129, 114.1244525 22.5045159, 114.1244478 22.5045199, 114.1243612 22.5045957, 114.1227541 22.5059244, 114.121559 22.5069481)",,,
637882055,637882053,0,147463810,新運路 San Wan Road,unclassified,False,True,40.188,"LINESTRING (114.1258125 22.5033686, 114.1259842 22.5032792, 114.1261616 22.5032064)",,,
637882055,5377802903,0,147463948,,residential,False,False,32.772,"LINESTRING (114.1258125 22.5033686, 114.1258177 22.5034229, 114.1258404 22.5036622)",,,
637882059,1606824636,0,147463796,新寶街 San Po Street,unclassified,False,True,47.096999999999994,"LINESTRING (114.1218045 22.5085074, 114.1217214 22.5084311, 114.1214925 22.5081972)",,,
637882059,1606824413,0,147463816,上水東慶路 Sheung Shui Tung Hing Road,unclassified,False,False,401.645,"LINESTRING (114.1218045 22.5085074, 114.1218778 22.5085713, 114.1219833 22.5086583, 114.1220708 22.5087, 114.1221677 22.5087084, 114.122239 22.5087011, 114.1223169 22.5086812, 114.1229235 22.508471, 114.123007 22.5084136, 114.1230818 22.5083216, 114.1231336 22.5082032, 114.123146 22.5080918, 114.1231266 22.5079446, 114.1231272 22.5077817, 114.1231578 22.5076724, 114.1232141 22.507587, 114.1232851 22.5075319, 114.1233775 22.5074871, 114.1234565 22.5074644, 114.123611 22.5074396, 114.1236731 22.5074317, 114.123851 22.5074074, 114.1241265 22.5072914, 114.1243077 22.5071174, 114.1243533 22.5071037, 114.1244081 22.5071012, 114.1246463 22.507179, 114.1246629 22.5071837)",,,
637882059,6779293979,0,784750744,寶運路 Po Wan Road,tertiary,False,False,158.75900000000001,"LINESTRING (114.1218045 22.5085074, 114.1216126 22.5086895, 114.1215141 22.5088286, 114.1214072 22.5089915, 114.1213244 22.5091495, 114.1212927 22.5092189, 114.1212811 22.5092443, 114.1211622 22.5096925, 114.1211438 22.5097676)",,,
637882059,7331387499,0,784750744,寶運路 Po Wan Road,tertiary,False,True,391.41599999999994,"LINESTRING (114.1218045 22.5085074, 114.1219096 22.5084104, 114.1233603 22.5071674, 114.1239954 22.5066426, 114.1241345 22.506574, 114.1242436 22.5065433, 114.1243693 22.5065154, 114.1247974 22.5064775)",,,
637882076,1599358635,0,147463745,馬會道 Jockey Club Road,primary,True,False,12.928,"LINESTRING (114.1344073 22.5005051, 114.1344963 22.5004229)",,intersection,
637882076,358334697,0,31976936,馬適路 Ma Sik Road,secondary,True,False,234.41200000000003,"LINESTRING (114.1344073 22.5005051, 114.1345363 22.5006397, 114.1347747 22.5009308, 114.1350961 22.5013902, 114.1355709 22.5020518, 114.1355879 22.5020759, 114.1356222 22.5021293, 114.1357009 22.502239)",2,,
637882077,637882079,0,147463747,馬會道 Jockey Club Road,primary,True,False,11.908,"LINESTRING (114.1344061 22.5003395, 114.1343251 22.5004161)",,intersection,
